ครั้งที่,ช่อง,คำสั่งทดสอบ,"ค่าอ่าน(0=ปิด,1=เปิด)",ตีความ,เวลาเสถียร(ms)
1,1,ปิดสนิท,1,Open,105
2,1,ปิดสนิท,1,Open,103
3,1,ปิดสนิท,0,Closed,106
4,1,ปิดสนิท,0,Closed,103
5,1,ปิดสนิท,0,Closed,104
6,1,ปิดสนิท,0,Closed,104
7,1,ปิดสนิท,0,Closed,106
8,1,ปิดสนิท,0,Closed,104
9,1,ปิดสนิท,0,Closed,103
10,1,ปิดสนิท,0,Closed,107
1,1,เปิด,0,Closed,105
2,1,เปิด,0,Closed,101
3,1,เปิด,0,Closed,103
4,1,เปิด,0,Closed,103
5,1,เปิด,0,Closed,103
6,1,เปิด,0,Closed,103
7,1,เปิด,0,Closed,103
8,1,เปิด,0,Closed,104
9,1,เปิด,0,Closed,106
10,1,เปิด,0,Closed,106
1,1,ปิดไม่สนิท,0,Closed,105
2,1,ปิดไม่สนิท,0,Closed,106
3,1,ปิดไม่สนิท,0,Closed,104
4,1,ปิดไม่สนิท,0,Closed,106
5,1,ปิดไม่สนิท,0,Closed,106
6,1,ปิดไม่สนิท,0,Closed,106
7,1,ปิดไม่สนิท,0,Closed,106
8,1,ปิดไม่สนิท,0,Closed,106
9,1,ปิดไม่สนิท,0,Closed,106
10,1,ปิดไม่สนิท,0,Closed,105
1,2,ปิดสนิท,1,Open,103
2,2,ปิดสนิท,1,Open,106
3,2,ปิดสนิท,1,Open,106
4,2,ปิดสนิท,1,Open,106
5,2,ปิดสนิท,1,Open,106
6,2,ปิดสนิท,1,Open,106
7,2,ปิดสนิท,1,Open,106
8,2,ปิดสนิท,1,Open,105
9,2,ปิดสนิท,1,Open,105
10,2,ปิดสนิท,1,Open,102
1,2,เปิด,1,Open,106
2,2,เปิด,1,Open,106
3,2,เปิด,1,Open,107
4,2,เปิด,1,Open,105
5,2,เปิด,1,Open,106
6,2,เปิด,1,Open,105
7,2,เปิด,1,Open,101
8,2,เปิด,1,Open,105
9,2,เปิด,1,Open,106
10,2,เปิด,1,Open,106
1,2,ปิดไม่สนิท,1,Open,105
2,2,ปิดไม่สนิท,1,Open,106
3,2,ปิดไม่สนิท,1,Open,107
4,2,ปิดไม่สนิท,1,Open,107
5,2,ปิดไม่สนิท,1,Open,107
6,2,ปิดไม่สนิท,1,Open,105
7,2,ปิดไม่สนิท,1,Open,105
8,2,ปิดไม่สนิท,1,Open,103
9,2,ปิดไม่สนิท,1,Open,104
10,2,ปิดไม่สนิท,1,Open,106
1,3,ปิดสนิท,1,Open,106
2,3,ปิดสนิท,1,Open,101
3,3,ปิดสนิท,1,Open,106
4,3,ปิดสนิท,1,Open,107
5,3,ปิดสนิท,1,Open,105
6,3,ปิดสนิท,1,Open,106
7,3,ปิดสนิท,1,Open,102
8,3,ปิดสนิท,1,Open,106
9,3,ปิดสนิท,1,Open,106
10,3,ปิดสนิท,1,Open,106
1,3,เปิด,1,Open,106
2,3,เปิด,1,Open,101
3,3,เปิด,1,Open,106
4,3,เปิด,1,Open,106
5,3,เปิด,1,Open,106
6,3,เปิด,1,Open,106
7,3,เปิด,1,Open,102
8,3,เปิด,1,Open,101
9,3,เปิด,1,Open,105
10,3,เปิด,1,Open,101
1,3,ปิดไม่สนิท,1,Open,106
2,3,ปิดไม่สนิท,1,Open,105
3,3,ปิดไม่สนิท,1,Open,105
4,3,ปิดไม่สนิท,1,Open,105
5,3,ปิดไม่สนิท,1,Open,105
6,3,ปิดไม่สนิท,1,Open,102
7,3,ปิดไม่สนิท,1,Open,106
8,3,ปิดไม่สนิท,1,Open,105
9,3,ปิดไม่สนิท,1,Open,105
10,3,ปิดไม่สนิท,1,Open,105
1,4,ปิดสนิท,1,Open,105
2,4,ปิดสนิท,1,Open,103
3,4,ปิดสนิท,1,Open,103
4,4,ปิดสนิท,1,Open,102
5,4,ปิดสนิท,1,Open,102
6,4,ปิดสนิท,1,Open,104
7,4,ปิดสนิท,1,Open,103
8,4,ปิดสนิท,1,Open,103
9,4,ปิดสนิท,1,Open,103
10,4,ปิดสนิท,1,Open,103
1,4,เปิด,1,Open,104
2,4,เปิด,1,Open,103
3,4,เปิด,1,Open,104
4,4,เปิด,1,Open,103
5,4,เปิด,1,Open,103
6,4,เปิด,1,Open,104
7,4,เปิด,1,Open,103
8,4,เปิด,1,Open,103
9,4,เปิด,1,Open,103
10,4,เปิด,1,Open,103
1,4,ปิดไม่สนิท,1,Open,103
2,4,ปิดไม่สนิท,1,Open,103
3,4,ปิดไม่สนิท,1,Open,103
4,4,ปิดไม่สนิท,1,Open,102
5,4,ปิดไม่สนิท,1,Open,104
6,4,ปิดไม่สนิท,1,Open,104
7,4,ปิดไม่สนิท,1,Open,103
8,4,ปิดไม่สนิท,1,Open,103
9,4,ปิดไม่สนิท,1,Open,103
10,4,ปิดไม่สนิท,1,Open,103
