ครั้งที่,ค่าที่อ่านได้ (มม.),ค่าอ้างอิง (มม.),คลาดเคลื่อน (มม.),คลาดเคลื่อน (%)
1,207,50,157,314.0
2,222,50,172,344.0
3,236,50,186,372.0
4,231,50,181,362.0
5,221,50,171,342.0
6,246,50,196,392.0
7,206,50,156,312.0
8,211,50,161,322.0
9,214,50,164,328.0
10,224,50,174,348.0
เฉลี่ย,221.8,50,171.8,343.6
SD,12.343419299367579,,,
ผลประเมิน,FAIL,,,
1,200,100,100,100.0
2,185,100,85,85.0
3,182,100,82,82.0
4,182,100,82,82.0
5,207,100,107,107.0
6,198,100,98,98.0
7,187,100,87,87.0
8,195,100,95,95.0
9,168,100,68,68.0
10,182,100,82,82.0
เฉลี่ย,188.6,100,88.6,88.6
SD,10.809255293497328,,,
ผลประเมิน,FAIL,,,
1,164,150,14,9.333333333333334
2,135,150,-15,10.0
3,158,150,8,5.333333333333334
4,160,150,10,6.666666666666667
5,160,150,10,6.666666666666667
6,154,150,4,2.666666666666667
7,158,150,8,5.333333333333334
8,147,150,-3,2.0
9,140,150,-10,6.666666666666667
10,138,150,-12,8.0
เฉลี่ย,151.4,150,1.4000000000000057,0.933333333333337
SD,9.991996797437437,,,
ผลประเมิน,FAIL,,,
1,130,200,-70,35.0
2,134,200,-66,33.0
3,125,200,-75,37.5
4,132,200,-68,34.0
5,126,200,-74,37.0
6,129,200,-71,35.5
7,125,200,-75,37.5
8,130,200,-70,35.0
9,129,200,-71,35.5
10,120,200,-80,40.0
เฉลี่ย,128,200,-72,36.0
SD,3.847076812334269,,,
ผลประเมิน,FAIL,,,
1,99,250,-151,60.4
2,98,250,-152,60.8
3,96,250,-154,61.6
4,94,250,-156,62.4
5,102,250,-148,59.199999999999996
6,98,250,-152,60.8
7,105,250,-145,57.99999999999999
8,98,250,-152,60.8
9,95,250,-155,62.0
10,96,250,-154,61.6
เฉลี่ย,98.1,250,-151.9,60.760000000000005
SD,3.1448370387032774,,,
ผลประเมิน,FAIL,,,
 
